sample_id,split,gloss,text,frames,start,end
00_0075,train,هو رغبه رياضه سوال قلب رغبه سوال,ما هي الرياضه التي تحبها,216,10497,10713
00_0076,train,انا حب كره_قدم كثير حب,احب لعب كره القدم كثيرا,152,10713,10865
00_0077,train,سوال هو شراء تفاحه,هل اشتريت التفاح,127,10865,10992
00_0078,train,انا شراء تفاحه لا_يوجد,انا لم اشتري التفاح,101,10992,11093
00_0079,train,هو لبس جيد حلو,لبسه جميل,242,11093,11335
00_0080,train,جو برد قليل,الجو بارد قليلا,108,11335,11443
00_0081,train,انا الان ماضي تعب,كنت متعب قليلا امس,128,11443,11571
00_0082,train,هو مشاهده هاتف مشاهده,هل رايت هاتفي,146,11571,11717
00_0083,train,هو صديق انا,هو صديقي,153,11717,11870
00_0084,train,سوال عمر اخ هو,كم هو عمر اخيك,132,11870,12002
00_0085,train,انا استيقاظ وقت خمس صباح كل_يوم,استيقظ في الخامسه كل صباح,189,12002,12191
00_0086,train,نهايه كتابه منزل نهايه,انتهيت من واجباتي,146,12191,12337
00_0087,train,انا خلط اكل خلط كل_يوم ليل,اطبخ كل ليله,128,12337,12465
00_0088,train,انا خوف,انا خائف,124,12465,12589
00_0089,train,سبب خوف,لماذا انت خائف,115,12589,12704
00_0090,train,دعوه مع دعوه اكل ليل دعوه الان ليل,لنتناول العشاء معا الليله,167,12704,12871
00_0091,train,سوال كرسي حمام,اين الحمام,108,12871,12979
00_0092,train,انا رغبه شرب بقره,اريد ان اشرب الحليب,117,12979,13096
00_0093,train,اعاده عوده مدرسه حافله,نعود الى المدرسه بالحافله,164,13096,13260
00_0094,train,هو اكل صباح اكل هو,هل اكلت الفطور,115,13260,13375
00_0095,train,انا اب خلط اكل نارغرفه,ابي يعد العشاء في المطبخ,123,13375,13498
00_0096,train,مكتبه مدرسه جميل,مكتبه المدرسه جميله,365,13498,13863
00_0097,train,لا حب اكل موز,لا احل اكل الموز,141,13863,14004
00_0098,train,كتاب جواز تذكره طياره حقيبه_يد يوجد,جواز سفري و تذكره الطياره في الحقيبه,175,14004,14179
00_0099,train,انا اب حادث,تعرض ابي لحادث,153,14179,14332
00_0100,train,انا اكل ليل وقت تسع,انا اكل العشاء الساعه التاسعه,130,14332,14462
00_0101,train,انا زوج عمل كثير,زوجي يعمل كثيرا,145,14462,14607
00_0102,train,زوج عمل سوال اكل لوحه,زوجي يعمل في المطعم,107,14607,14714
00_0103,train,هو طفل رغبه لعب انواع كثير,يريد الطفل العاب متنوعه,151,14714,14865
00_0104,train,رغبه حذاء خوف,اريد حذاء جديد,109,14865,14974
00_0105,train,انا رغبه تلفاز حاسب خوف,اريد كمبيوتر جديد,157,14974,15131
00_0106,train,هو رغبه دراجه,اريد دراجه,95,15131,15226
00_0107,train,زهره مطر رغبه,الزهور تحتاج المطر,108,15226,15334
00_0108,train,استفهام هو جوع اكل هو,هل انت جائع,131,15334,15465
00_0109,train,هو يوجد سلطه اتقان,هل لديك سلطه طازجه,192,15465,15657
00_0110,train,استفهام هو تفاحه اتقان,هل لديك تفاح طازج,145,15657,15802
00_0111,train,اخ جوع,اخي جائع,106,15802,15908
00_0112,train,هو ام جوع,والدتك جائعه,102,15908,16010
00_0113,train,الان تفاحه موزه يوجد لوحه,يوجد اليوم تفاح و موز في السوبرماركت,173,16010,16183
00_0114,train,هو مساعده,هل تساعدني,138,16183,16321
00_0115,train,شرطه استفهام منزل ام سوال,يسالني الشرطي عن مكان والدتي,163,16321,16484
00_0116,train,تاريخ زوج هو ذهاب سينما,متى سيذهب زوجك للسينما,181,16484,16665
00_0117,train,معلم ذهاب مركز صم يوم الاربعاء,يذهب المعلم الى مركز الصم يوم الاربعاء,206,16665,16871
00_0118,train,شخص صم ذهاب مركز صم,يذهب الاصم الى مركز الصم,178,16871,17049
00_0119,train,انا بيتزا سوال لوحه اكل,انا اكل البيتزا في المطعم,191,17049,17240
00_0120,train,هو رغبه حب اكل شوكولاته بسكوت حب هو,تحب ان تاكل البسكوت و الشوكولاته,164,17240,17404
00_0121,train,انا سياره ركوب ذهاب لوحه بقاله شوكولاته,انا اقود الى السوبرماركت,228,17404,17632
00_0122,train,بنت دراجه,البنت تركب دراجه,124,17632,17756
00_0123,train,انا صديق دراجه ماضي,ركب صديقي دراجه امس,122,17756,17878
00_0124,train,شرطه دراجه_ناريه,يركب الشرطي دراجه ناريه,130,17878,18008
00_0125,train,ولد صم هو سياره قدره,الرجل الاصم يقود سياره,135,18008,18143
00_0126,train,مدرسه شخص سياره ذهاب وصل مركز سياره,ياتي الطالب الى المعهد بالسياره,164,18143,18307
00_0127,train,استفهام الحذاء مشاهده سوال,هل رايت الحذاء,164,18307,18471
00_0128,train,هو قدره مشاهده نظاره,هل رايت النظارات,114,18471,18585
00_0129,train,لاب_توب حاسب مشاهده لاب_توب,هل رايت الكمبيوتر,135,18585,18720
00_0130,train,انا ذهاب سينما الان ليل,انا ذاهب الى السينما الليله,169,18720,18889
00_0131,train,اخ ذهاب اكل لوحه,ذهب اخي الى المطعم,139,18889,19028
00_0132,train,انا ذهاب لوحه شوكولاته بقاله انواع شراء,انا ذاهب الى السوبرماركت,142,19028,19170
00_0133,train,زوج ذهاب لوحه بقاله,يذهب الزوج الى السوبرماركت,103,19170,19273
00_0134,train,دعوه نداء اكل رغبه تعداد,اطلب من النادل,138,19273,19411
00_0135,train,الان برد ليل برد,الجو بارد الليله,102,19411,19513
00_0136,train,الان برد ماضي مركز صم,شعرت بالبرد في مركز الصم امس,165,19513,19678
00_0137,train,انا شعور برد حافله داخل ليل الان,انا اشعر بالبرد في الحافله الليله,204,19678,19882
00_0138,train,شراء شاي شرب رغبه هو,هل تريد شراء الشاي,108,19882,19990
00_0139,train,انا شراء شوكولاته,انا اشتري الشوكولاته,97,19990,20087
00_0140,train,ولد شخص شراء ماء,الولد يشتري الماء,178,20087,20265
00_0141,train,انا غدا حاسب شراء,سوف اشتري كمبيوتر غدا,128,20265,20393
00_0142,train,الان خس ال خ س لوحه بقاله,اليوم نشتري الخس من السوبرماركت,192,20393,20585
00_0143,train,انا الان خلط اكل,انا اطبخ الان,124,20585,20709
00_0144,train,الان خلط لا,لا اطبخ الان,93,20709,20802
00_0145,train,وقت سوال حافله دخول,متى تاتي الحافله,133,20802,20935
00_0146,train,وقت رئيس ذهاب وقت سوال,متى ياتي الرئيس,139,20935,21074
00_0147,train,رقم بسكوت مال تفاحه مال رقم,كم سعر البسكوت والتفاح,152,21074,21226
00_0148,train,زوج هو معرفه لغه اشاره,زوجك يتعلم لغه الاشاره,162,21226,21388
00_0149,train,هو صديق هو معرفه لغه اشاره,صديقك يتعلم لغه الاشاره,151,21388,21539
00_0150,train,بنت هو قراءه,المراه تقرا,138,21539,21677
00_0151,train,ولد قراءه,الولد يقرا,80,21677,21757
00_0152,train,صديق كتاب قراءه,صديقي يقرا كتاب,178,21757,21935
00_0153,train,ام قراءه كل_يوم السبت,الام تقرا كتاب يوم السبت,162,21935,22097
00_0154,train,اخ حب كتاب خوف هو,يحب اخوك قراءه كتاب جديد,170,22097,22267
00_0155,train,انا حب شاي,نحن نحب الشاي,136,22267,22403
00_0156,train,انا حب بقره اتقان,انا احب الحليب الطازج,109,22403,22512
00_0157,train,طفل حب ثلج هو,الطفل يحب الثلج,168,22512,22680
00_0158,train,انا حب شوكولاته بقره,انا احب الشوكولاته و الحليب,213,22680,22893
00_0159,train,هو حب شوكولاته بسكوت,تحب الشوكولاته او البسكوت,171,22893,23064
00_0160,train,سلطه اتقان ممتاز,السلطه الطازجه طعمها جيد,133,23064,23197
00_0161,train,موزه تفاحه اتقان ممتاز جيد,طعم الموز والتفاح الطازج جيد,202,23197,23399
00_0162,train,انا صديق كتابه,صديقي يكتب,123,23399,23522
00_0163,train,ممكن صديق قدره كتابه,يمكن لصديقي ان يكتب,164,23522,23686
00_0164,train,لعب هو ممتاز,اللعبه جميله,152,23686,23838
00_0165,train,انا بحث تفاحه احمر,انا ابحث عن تفاح احمر,136,23838,23974
00_0166,train,هو رغبه قهوه شاي رغبه سوال,هل تريد قهوه او شاي,166,23974,24140
00_0167,train,هو بحث قهوه شاي,هل تريد شاي ام قهوه,116,24140,24256
00_0168,train,انا بحث تفاحه احمر شوكولاته,انا ابحث عن تفاح احمر و شوكولاته,215,24256,24471
00_0169,train,رئيس اتصال,الرئيس على الهاتف,102,24471,24573
00_0170,train,استفهام غدا صديق لقاء,هل ستلتقي بصديقك غدا,154,24573,24727
00_0171,train,انا غدا صديق لقاء,سالتقي بصديقي غدا,122,24727,24849
00_0172,train,هو شرب هو,هو يشرب ماء,114,24849,24963
00_0173,train,انا شرب ماضي,شربت الماء امس,126,24963,25089
00_0174,train,ولد شخص ماء هو,الولد يشرب الماء,151,25089,25240
00_0175,train,نسيان دراجه,نسيت الدراجه,116,25240,25356
00_0176,train,انا جميع جوع,نحن جائعون,125,25356,25481
00_0177,train,حافله خوف هو,الحافله جديده,126,25481,25607
00_0178,train,سوال بيتزا,اين البيتزا,120,25607,25727
00_0179,train,نظاره غالي,النظارات غاليه,99,25727,25826
00_0180,train,حذاء رخيص,الحذاء رخيص,110,25826,25936
00_0181,train,حاسب لاب_توب غالي,الكمبيوتر غالي السعر,107,25936,26043
00_0182,train,شوكولاته صحه,الشوكولاته صحيه,125,26043,26168
00_0183,train,اب مستشفى منزل سبب حادث,والدي في المستشفى لانه تعرض لحادث,158,26168,26326
00_0184,train,استئذان عصير تفاحه,من فضلك اعطني عصير تفاح,130,26326,26456
00_0185,train,رغبه صوره قط صغير,ابني يريد تصوير القط الصغير,151,26456,26607
00_0186,train,انا خوف ولاده قبل وقت,اخاف من الولاده قبل الاوان,133,26607,26740
00_0187,train,انا ام ذهاب مستشفى سبب مرض,ذهبت والدتي الى المستشفى لانها مريضه,189,26740,26929
00_0188,train,انا نوم تقلب,اجد صعوبه في النوم,110,26929,27039
00_0189,train,ابن زعل سبب كلب موت,ابني حزين لان الكلب مات,146,27039,27185
00_0190,train,جد ماضي هو حزن سبب طير موت,جدي حزين لان الطائر مات,170,27185,27355
00_0191,train,انا زعل سبب قط موت الان صباح,انا حزين لان قطتي ماتت هذا الصباح,138,27355,27493
00_0192,train,انا ذهاب مزرعه شراء بيض موزه انواع,اذهب الى المزرعه لشراء البيض و الموز,173,27493,27666
00_0193,train,وجوب استيقاظ وقت سبع كل_يوم,يجب ان استيقظ الساعه السادسه كل يوم,172,27666,27838
00_0194,train,انا صديق صم قدره ترجمه اشاره,صديقي اصم لكن يمكنني ان اترجم له,165,27838,28003
00_0195,train,استئذان تذكره طياره عطاء,من فضلك اعطني تذكره الرحله,140,28003,28143
00_0196,train,ترجمه ذهاب مركز الثلاثاء مستمر,المترجم يذهب الى المعهد كل يوم ثلاثاء,170,28143,28313
00_0197,train,انا حفيد رغبه سباحه بحر,احفادي يرغبون السباحه في البحر,180,28313,28493
00_0198,train,انا معرفه اخبار ترجمه مشاهده معرفه,انا افهم الاخبار مع الترجمه,176,28493,28669
00_0199,train,مشاهده شاشه قليل مشاهده اخبار,نادرا اشاهد الاخبار التلفزيونيه,189,28669,28858
00_0200,train,انا غدا وقت اثنان عمل خلاص,ينتهي عملي غدا الساعه الثانيه,126,28858,28984
00_0201,train,هو هاتف اتصال شرطه,انت اتصلت بالشرطه,101,28984,29085
00_0202,train,رغبه ساعه تخفيض طياره معاق,اريد خصم الرحله للمعاقين,123,29085,29208
00_0203,train,انا اسم سياره اسم,اريد نقل ملكيه سيارتي,113,29208,29321
00_0204,train,استفهام صدر خوف مسوول سوال سياره اسم,من سيكون المالك الجديد,154,29321,29475
00_0205,train,هو وجوب شرب زياده,يجب ان تشرب الكثير من الماء,111,29475,29586
00_0206,train,كتاب صباح صيف مكتبه لوحه صباح صيف,المكتب مفتوح في الصباح و الظهر,265,29586,29851
00_0207,train,ولد سرق هاتف,سرق شخص ما هاتفي,137,29851,29988
00_0208,train,انا ولد هو هاتف اخذ اختفاء,اخذ رجل الهاتف وهرب,214,29988,30202
00_0209,train,انت سوال ذهاب جري,الى اين ركض,130,30202,30332
00_0210,train,مستمر جري بحر,ركض الى الشاطئ,128,30332,30460
00_0211,train,سوال هو ماضي هو,اين كنت,109,30460,30569
00_0212,train,هو ماضي كوفي انتظار,كنت في مقهى,102,30569,30671
00_0213,train,هو انا بحث هاتف بحث جواب,سوف ابحث عن الهاتف و نبلغك,145,30671,30816
00_0214,train,هو رغبه اسبوع اخر راحه سعيد,اتمنى لك عطله نهايه اسبوع سعيده,168,30816,30984
00_0215,train,انا رغبه جواز سفر رغبه,اريد الحصول على جواز سفر,121,30984,31105
00_0216,train,رغبه شكوى,اريد تقديم شكوى,91,31105,31196
00_0217,train,انا رغبه طبيب د,انا بحاجه الى طبيب,100,31196,31296
00_0218,train,د يوجد غدا يوجد,الطبيب موجود غدا,94,31296,31390
00_0219,train,مشكله سوال,ما المشكله,90,31390,31480
00_0220,train,انا لا صحه سيئ,صحتي غير جيده,165,31480,31645
00_0221,train,انا استفراغ ثاني اسهال انا,انا اتقيا و اعاني من الاسهال,149,31645,31794
00_0222,train,تاريخ سوال اسهال تاريخ فتح,منذ متى تعاني من الاسهال,182,31794,31976
00_0223,train,ثلاث قبل,ثلاث ايام,92,31976,32068
00_0224,train,هو حمى هو,هل لديك حمى,100,32068,32168
00_0225,train,نعم انا دوخه,نعم انا اعاني من دوخه,181,32168,32349
00_0226,train,انا ماضي ثلاث اكل سوال,ماذا اكلت قبل ثلاث ايام,93,32349,32442
00_0227,train,انا رغبه وقت موعد صوره بطن رغبه,اريد موعدا لاجراء تصوير البطن بالموجات فوق الصوتيه,184,32442,32626
00_0228,train,هو تجنب بقره خضار انواع تجنب,تجنب منتجات الالبان و الخضار,175,32626,32801
00_0229,train,انا قدره دجاج سمكه,يمكنني اكل الدجاج و السمك,96,32801,32897
00_0230,train,تمام اريد اكل رز مكرونه قدره,بالطبع يمكن ان تاكل الرز و المكرونه,220,32897,33117
00_0231,train,انا عمل لا_يوجد تامين لا_يوجد,انا عاطل عن العمل و ليس لدي تامين,146,33117,33263
00_0232,train,هو دفع مال سوال,اين دفع الرسوم,103,33263,33366
00_0233,train,بنك اي_شي,في احد البنوك,113,33366,33479
00_0234,train,هو مقابله ملكيه مقابله محادثه,هل تحدثت الى المالك,134,33479,33613
00_0235,train,اعاده عوده ثلاث عوده,تعال مره اخرى بعد ثلاث ايام,110,33613,33723
00_0236,train,هو عوده مع هو,هل جئتم معا,116,33723,33839
00_0237,train,ان_شاء_الله غدا دفع,ان شاء الله ادفع غدا,115,33839,33954
00_0238,train,رغبه مستقبل سعيد,اتمنى لك مستقبل سعيد,120,33954,34074
00_0239,train,مهم بطاقه هويه اخذ صوره,احتاج الى بطاقه الهويه و صوره ضوئيه,149,34074,34223
00_0240,train,ولد سرقه حقيبه_يد,سرق الرجل حقيبتي,158,34223,34381
00_0241,train,هو اختبار اخر شهاده,سيتم اختبارك و ستحصل على النتائج,147,34381,34528
00_0242,train,هو رخصه رسمي واحد ثلاث,ستكون الرخصه جاهزه في غضون ثلاث اسابيع,168,34528,34696
00_0243,train,بطاقه سوال اسابيع ثلاث,سيكون التصريح جاهز في غضون ثلاث اسابيع,174,34696,34870
00_0244,train,جواز كتاب اتقان ممكن عشر_ايام,سيكون جواز السفر جاهز في غضون عشر ايام,174,34870,35044
00_0245,train,وجوب دفع جواز سفر,يجب عليك دفع رسوم جواز السفر,139,35044,35183
00_0246,train,شكر,شكرا,72,35183,35255
00_0247,train,شكر مساعده,شكرا لمساعدتك,116,35255,35371
00_0248,train,صباح خير,صباح الخير,116,35371,35487
00_0249,train,صباح خير طاعه خدمه سوال,صباح الخير كيف يمكنني ان اخدمك,139,35487,35626
00_0250,train,صباح خير هو رغبه مساعده,صباح الخير هل تحتاج مساعده,124,35626,35750
00_0251,train,ولد صفه سوال,صف الرجل,106,35750,35856
00_0252,train,ولد طويل نحيف شعر اصفر قصير,كان الرجل طويل ونحيل وشعره اشقر قصير,284,35856,36140
00_0253,train,انا بطن الم,عندي الم في المعده,140,36140,36280
00_0254,train,انا جواز تاريخ انتهاء,جواز سفري منتهي الصلاحيه,141,36280,36421
00_0255,train,سبب ولد شخص لبس سوال,ماذا كان يرتدي الرجل,174,36421,36595
00_0256,train,ولد لبس بنطال احمر حذاء ابيض,الرجل يرتدي بنطال احمر و حذاء ابيض,186,36595,36781
00_0257,train,سوال جواز تاريخ انتهاء تاريخ سوال,ماهو تاريخ نهايه صلاحيه الجواز,126,36781,36907
00_0258,train,سن خمس,خمس سنوات,88,36907,36995
00_0259,train,سوال ضياع حقيبه_يد,كيف فقدت الحقيبه,100,36995,37095
00_0260,train,ماضي مرض خطر,اصبت بمرض خطير,127,37095,37222
00_0261,train,هاتف هويه ضياع سوال,كيف فقدت هاتفك و هويتك,97,37222,37319
00_0262,train,هو بطن ت س م م,لديك تسمم غذائي,123,37319,37442
00_0263,train,انا هويه ضياع,فقدت هويتي,101,37442,37543
00_0264,train,انا ممتاز اتقان,حالي ممتاز,99,37543,37642
00_0265,train,وقت مسافه طياره خارج مسافه تاريخ سوال,ما هي الفتره التي ستقضيها بالسفر الى الخارج,202,37642,37844
00_0266,train,تاريخ سرقه تاريخ سوال,متى حدثت السرقه,107,37844,37951
00_0267,train,ماضي,منذ زمن,88,37951,38039
00_0268,train,تاريخ فتح مرض,متى بدا المرض,100,38039,38139
00_0269,train,مرض ماضي صغير مرض,مرضت عندما كنت طفل,158,38139,38297
00_0270,train,دعوه انا رغبه مساعده,مرحبا انا بحاجه الى مساعده,127,38297,38424
00_0271,train,انا دعوه طاعه مساعده,مرحبا كيف يمكنني المساعده,110,38424,38534
00_0272,train,دعوه اخبار حال جيد,مرحبا ما اخبارك,182,38534,38716
00_0273,train,ليل خير,مساء الخير,74,38716,38790
00_0274,train,مع_السلامه,مع السلامه,75,38790,38865
00_0275,train,سوال ازعاج سوال,من يزعجك,122,38865,38987
00_0276,train,هو دواء ماضي يوجد,هل تناولت اي ادويه,178,38987,39165
00_0277,train,هو يوجد تحويل د,هل لديك تحويا من الطبيب,192,39165,39357
00_0278,train,انا نعم د بطن,نعم من طبيب الجهاز الهضمي,173,39357,39530
00_0279,train,هو يوجد تامين,هل لديك تامين,142,39530,39672
00_0280,train,نعم تامين,نعم لدي تامين,166,39672,39838
00_0281,train,هو رخصه سياره هو,هل لديك رخصه سياره,151,39838,39989
00_0282,train,هو بطاقه صوره هويه هو,هل عندك بطاقه هويتك,200,39989,40189
00_0283,train,ثاني صوره سوال جواز_سفر,و صوره جواز السفر,199,40189,40388
00_0284,train,ولاده طفل اتقان,ولد الطفل سليم,194,40388,40582
00_0285,train,ولاده ماضي تسع,ولد الطفل قبل الاوان,196,40582,40778
00_0286,train,وجوب طلب صوره هويه,يجب عليك احضار صوره من هويتك,193,40778,40971
00_0287,train,سوال هو هاتف مشاهده سوال,هل رايت الهاتف,174,40971,41145
00_0288,train,طاوله على,على الطاوله,163,41145,41308
00_0289,train,استفهام سوال سرقه هاتف هو,من الذي سرق الهاتف,162,41308,41470
00_0290,train,هو كتابه تفاصيل حال,اكتب الحدث بالتفصيل,167,41470,41637
00_0291,train,هو عضو مع السعوديه قصه,هل انت عضو في الفريق السعودي,139,41637,41776
00_0292,train,نعم انا مع السعوديه قصه رمايه صم,نعم انا في الفريق السعودي للرمايه للصم,247,41776,42023
00_0293,train,غدا شهاده تقديم,ساحضر الشهاده غدا,211,42023,42234
00_0294,train,سوال عمر سن,كم عمرك,151,42234,42385
00_0295,train,انا تعليم ولد اخر شهاده,انا ادرس وابني لديه شهاده,300,42385,42685
00_0296,train,انا رغبه لا ممتاز,لا احتاج شيء,189,42685,42874
00_0297,train,هو قلم يوجد,هل لديك قلم,116,42874,42990
00_0298,train,هو كتابه تاريخ الان,اكتب تاريخ اليوم,144,42990,43134
00_0299,train,انا رغبه بطاقه سياره,اريد الحصول على رخصه قياده,149,43134,43283
00_0300,train,استفهام دواء قدره هو,هل تناولت الدواء,126,43283,43409
00_0301,train,انا نوم ليل,انام ليلا,128,43409,43537
00_0302,train,انا حب لون ابيض كره لون اسود,احب اللون الابيض واكره اللون الاسود,237,43537,43774
00_0303,train,انا رغبه شراء سوق لوحه,اريد ان اشتري اغراض منزلي من السوبرماركت,214,43774,43988
00_0304,train,انا اسم ا ح م د,اسمي احمد,191,43988,44179
00_0305,train,انا عمل ترجمه لغه اشاره,انا اعمل مترجم لغه اشاره,205,44179,44384
00_0306,train,انا قراءه كتاب,انا اقرا الكتاب,164,44384,44548
00_0307,train,انا مع اسره مع مشاهده كره_قدم مباراه,انا واسرتي ذهبنا لمشاهده مباراه كره قدم,219,44548,44767
00_0308,train,انا رغبه ذهاب مستشفى سبب ابن مرض,اريد الذهاب للمستشفى بسبب ابني مريض,263,44767,45030
00_0309,train,انا اب بيع تصوير,ابي باع الكاميرا,161,45030,45191
00_0310,train,اب انا لون حب لون ازرق ام لون حب سوال وردي,ابي يحب اللون الازرق وامي تحب اللون الوردي,294,45191,45485
00_0311,train,انا حب اب,احب ابي,116,45485,45601
00_0312,train,انا حب بنت اخ,احب اختي,138,45601,45739
00_0313,train,انا حب صلاه,احب صلاه,156,45739,45895
00_0314,train,انا حب اكل,احب الطعام,119,45895,46014
00_0315,train,انا حب صديق,احب زميلي,140,46014,46154
00_0316,train,انا اخ بنت جميل,اختي جميله,128,46154,46282
00_0317,train,انا اخ زواج الثلاثاء قادم,اخي سيتزوج يوم الثلاثاء القادم,192,46282,46474
00_0318,train,حقيبه_ظهر حقيبه_يد خفيف,الحقيبه خفيفه,171,46474,46645
00_0319,train,انا اخ سياره سرعه,اخي يقود السياره بسرعه,158,46645,46803
00_0320,train,انا مساعده ام منزل,اساعد امي في المنزل,173,46803,46976
